"","Control_1","Control_2","Control_3","IR_1","IR_2","IR_3"
"mmu_circ_0000823",57285.14157,63282.31465,42524.53629,0,0,0
"mmu_circ_0000850",200.4510148,63.05810805,69.9643182,0,0,0
"mmu_circ_0001111",106.4896016,42.0387387,131.1830966,0,0,0
"mmu_circ_0000505",2004.510148,1040.458783,0,0,0,0
"mmu_circ_0000239",663.9939865,521.9810055,721.5070314,269.3343594,225.2154076,540.5405405
"mmu_circ_0001382",1083.688299,0,874.5539775,0,0,0
"mmu_circ_0000095",125.2818842,112.1033032,104.9464773,30.78106964,0,0
"mmu_circ_0000597",68.90503633,66.56133627,43.72769887,0,0,0
"mmu_circ_0001406",62.64094212,42.0387387,65.59154831,0,0,0
"mmu_circ_0001183",357.0533701,210.1936935,292.9755825,107.7337437,261.5404734,100.3861004
